tipo;prov;mun;clase;refcat;uc;provine;provincia;mundgc;munine;municipio;entidad;codvia;tipovia;nombrevia;ndp;letra;ndp2;letra2;km;direccionne;anyoconstr;exactituda;superficie;longitudfa
13;46;019;UR;5817405YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00086;CL;FALLA DEL MERCAT;0008;;0000;;00000;;2005;E;0000000;00791
13;46;019;UR;5817405YJ1451N;0002;46;VALENCIA;019;019;L'ALCUDIA;;00086;CL;FALLA DEL MERCAT;0008;;0000;;00000;;2004;E;0000000;00791
13;46;019;UR;5612304YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00090;CL;HERNAN CORTES;0008;;0000;;00000;;2004;E;0000088;00650
13;46;019;UR;5612304YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00090;CL;HERNAN CORTES;0008;;0000;;00000;;2004;E;0000039;00650
13;46;019;UR;5514514YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00071;CL;VERGE DE L'ORET;0029;;0000;;00000;;1960;E;0000133;00000
13;46;019;UR;5514514YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00071;CL;VERGE DE L'ORET;0029;;0000;;00000;;1960;E;0000029;00000
13;46;019;UR;5512211YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00020;CL;ESCOLES;0006;;0000;;00000;;1958;E;0000086;00720
13;46;019;UR;5512211YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00020;CL;ESCOLES;0006;;0000;;00000;;1958;E;0000045;00720
13;46;019;UR;5512211YJ1451S;0003;46;VALENCIA;019;019;L'ALCUDIA;;00020;CL;ESCOLES;0006;;0000;;00000;;1958;E;0000000;00720
13;46;019;UR;5512211YJ1451S;0004;46;VALENCIA;019;019;L'ALCUDIA;;00020;CL;ESCOLES;0006;;0000;;00000;;2007;E;0000000;00720
13;46;019;UR;5511231YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00068;CM;VELL D'ALCIRA;0033;;0000;;00000;;1999;E;0000000;01100
13;46;019;UR;5511230YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00072;AV;PABLO IGLESIAS POSSE;0037;;0000;;00000;UA SUR 1 P-8;2003;E;0000000;02990
13;46;019;UR;5511230YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00072;AV;PABLO IGLESIAS POSSE;0037;;0000;;00000;UA SUR 1 P-8;2003;E;0000000;02990
13;46;019;UR;5511214YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00155;CL;DOCTOR PERSET;0026;;0000;;00000;UA SUR 1 P-11;1998;E;0000000;00600
13;46;019;UR;5511214YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00155;CL;DOCTOR PERSET;0026;;0000;;00000;UA SUR 1 P-11;1998;E;0000000;00600
13;46;019;UR;5511209YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00104;CL;FILH ALCUDIANA;0025;;0000;;00000;;1984;E;0000000;01784
13;46;019;UR;5511209YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00104;CL;FILH ALCUDIANA;0025;;0000;;00000;UA SUR 1 P-06;1998;E;0000000;01784
13;46;019;UR;5511209YJ1451S;0003;46;VALENCIA;019;019;L'ALCUDIA;;00104;CL;FILH ALCUDIANA;0025;;0000;;00000;UA SUR 1 P-06;1998;E;0000000;01784
13;46;019;UR;5511206YJ1451B;0001;46;VALENCIA;019;019;L'ALCUDIA;;00104;CL;FILH ALCUDIANA;0020;;0000;;00000;;2001;E;0000000;00940
13;46;019;UR;5511206YJ1451B;0002;46;VALENCIA;019;019;L'ALCUDIA;;00104;CL;FILH ALCUDIANA;0020;;0000;;00000;UA SUR 1 P-04;2001;E;0000000;00940
13;46;019;UR;5412421YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00104;CL;FILH ALCUDIANA;0009;;0000;;00000;;2005;E;0000000;00547
13;46;019;UR;5412421YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00104;CL;FILH ALCUDIANA;0009;;0000;;00000;;2005;E;0000000;00547
13;46;019;UR;5313821YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00004;CL;APARISI GUIJARR;0017;;0000;;00000;;2006;E;0000103;00605
