tipo;prov;mun;refcat;orden;cargo;uc;bloque;escalera;planta;puerta;destino;tipo_refor;anyo_refor;anyo_ant;local_interior;sup_total;sup_porche_terraza;sup_otras_plantas;tipologia;modo_reparto
14;46;019;5129102YJ1452N;0001;0001;0001;;1;00;01;AAL;;0000;2009;N;0000039;0000000;0000000;01236;
14;46;019;5129102YJ1452N;0002;0001;0001;;1;00;02;YSP;;0000;2009;N;0000010;0000000;0000000;01236;
14;46;019;5129102YJ1452N;0003;0001;0001;;1;00;03;AAL;;0000;2009;N;0000028;0000000;0000000;01236;
14;46;019;5129102YJ1452N;0004;0001;0001;;1;01;01;V;;0000;2009;N;0000039;0000000;0000000;01216;
14;46;019;4933107YJ1443S;0001;0001;0001;;1;00;01;BIG;;0000;1980;N;0000255;0000000;0000000;02138;
14;46;019;6115401YJ1461N;0001;0001;0001;;1;00;01;AAL;O;1987;1983;N;0002475;0000000;0000000;02135;
14;46;019;6115401YJ1461N;0003;0001;0001;;1;00;BJ;AAL;O;1987;1983;N;0000176;0000000;0000000;02135;
14;46;019;6115401YJ1461N;0004;0001;0001;;1;00;BJ;AAL;O;1987;1983;N;0000197;0000000;0000000;02135;
14;46;019;6115401YJ1461N;0005;0001;0001;;1;01;01;AAL;O;1987;1983;N;0000307;0000000;0000000;02135;
14;46;019;6115401YJ1461N;0006;0001;0001;;1;00;02;AAL;O;1987;1983;N;0000360;0000000;0000000;02135;
14;46;019;6115401YJ1461N;0007;0001;0001;;1;01;01;AAL;O;1987;1983;N;0000360;0000000;0000000;02135;
14;46;019;6115401YJ1461N;0010;0001;0001;;1;00;03;AAL;O;1987;1983;N;0002000;0000000;0000000;02135;
14;46;019;6115401YJ1461N;0011;0001;0001;;1;01;01;AAL;O;1987;1983;N;0000500;0000000;0000000;02135;
14;46;019;6115401YJ1461N;0002;0001;0002;;1;00;BJ;O99;O;1987;1983;N;0000076;0000000;0000000;03225;
14;46;019;6115401YJ1461N;0008;0001;0002;;1;01;01;O99;O;1987;1983;N;0000197;0000000;0000000;03225;
14;46;019;6115401YJ1461N;0009;0001;0002;;1;01;01;O99;O;1987;1983;N;0000197;0000000;0000000;03225;
14;46;019;46019A02600437;0001;0001;0001;;1;00;01;V;;0000;1982;N;0000147;0000000;0000000;01215;
14;46;019;46019A02600437;0003;0001;0001;;1;00;BJ;AAL;;0000;1982;N;0000012;0000000;0000000;01235;
14;46;019;46019A02600437;0002;0001;0001;;1;00;02;KPS;;0000;1982;N;0000079;0000000;0000000;05225;
14;46;019;46019A02600437;0004;0001;0001;;1;00;03;KDP;;0000;1982;N;0000507;0000000;0000000;05215;
14;46;019;46019A01400069;0001;0000;0001;;1;00;16;ZBE;;0000;2000;N;0000315;0000000;0000000;10328;
14;46;019;46019A01400069;0002;0000;0001;;;;;BIG;;0000;2000;N;0001563;0000000;0000000;02139;
14;46;019;46019A01400069;0003;0000;0001;;;;;BIG;;0000;2000;N;0000057;0000000;0000000;02139;
14;46;019;46019A01400069;0004;0000;0001;;;;;BIG;;0000;2000;N;0000117;0000000;0000000;02139;
14;46;019;46019A01400069;0006;0000;0001;;;;;YOU;;0000;2000;N;0000764;0000000;0000000;10327;
14;46;019;46019A00900033;0001;0000;0001;;1;00;01;I;;0000;1957;N;0002841;0000000;0000000;02117;
14;46;019;46019A00900033;0002;0000;0001;;1;00;BJ;AAL;;0000;1957;N;0000314;0000000;0000000;02117;
14;46;019;46019A00900033;0003;0000;0001;;1;00;BJ;AAL;;0000;1957;N;0000117;0000000;0000000;02117;
14;46;019;46019A00900033;0004;0000;0001;;1;00;BJ;O99;;0000;1957;N;0000069;0000000;0000000;03226;
14;46;019;46019A00900033;0005;0000;0001;;1;01;01;AAL;;0000;1957;N;0000117;0000000;0000000;02117;
14;46;019;46019A02600449;0001;0001;0001;;1;00;01;V;;0000;2005;N;0000133;0000000;0000000;01216;
14;46;019;46019A02600449;0002;0001;0001;;1;00;02;YSP;;0000;2005;N;0000042;0000000;0000000;01236;
14;46;019;46019A02600449;0003;0001;0001;;1;00;03;AAL;;0000;2005;N;0000011;0000000;0000000;01236;
14;46;019;46019A02600492;0003;0001;0001;;1;00;03;YSP;;0000;2005;N;0000026;0000000;0000000;01236;
14;46;019;46019A02600492;0004;0001;0001;;1;00;04;V;;0000;2005;N;0000064;0000000;0000000;01216;
14;46;019;46019A02600492;0005;0001;0001;;1;01;01;V;;0000;2005;N;0000083;0000000;0000000;01216;
14;46;019;46019A02600484;0001;0001;0001;;1;00;01;V;;0000;2009;N;0000150;0000000;0000000;01214;
14;46;019;46019A02600484;0002;0001;0001;;1;00;02;YSP;;0000;2009;N;0000009;0000000;0000000;01234;
14;46;019;46019A02600484;0003;0001;0001;;1;01;01;V;;0000;2009;N;0000114;0000000;0000000;01214;
14;46;019;46019A00400309;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000379;0000000;0000000;02138;
14;46;019;46019A00400308;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000661;0000000;0000000;02138;
14;46;019;46019A00400308;0002;0000;0001;;1;00;02;BIG;;0000;1970;N;0000036;0000000;0000000;02138;
14;46;019;46019A00400308;0003;0000;0001;;1;00;03;ZBE;;0000;1970;N;0000019;0000000;0000000;10328;
14;46;019;46019A02600070;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000021;0000000;0000000;02138;
14;46;019;46019A02600070;0002;0000;0001;;1;00;02;BIG;;0000;1970;N;0000014;0000000;0000000;02138;
14;46;019;46019A02600070;0003;0000;0001;;1;00;03;ZBE;;0000;1970;N;0000013;0000000;0000000;10328;
14;46;019;46019A02600026;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000128;0000000;0000000;02138;
14;46;019;46019A02000095;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000020;0000000;0000000;02138;
14;46;019;46019A00400150;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000024;0000000;0000000;02138;
14;46;019;46019A00400144;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000061;0000000;0000000;02138;
14;46;019;46019A00400144;0002;0000;0001;;1;00;02;BIG;;0000;1970;N;0000004;0000000;0000000;02138;
14;46;019;46019A02000023;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000080;0000000;0000000;02138;
14;46;019;46019A02500126;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000034;0000000;0000000;02138;
14;46;019;46019A02700163;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000445;0000000;0000000;02138;
14;46;019;46019A02700163;0002;0000;0001;;1;02;01;BIG;;0000;1970;N;0000445;0000000;0000000;02138;
14;46;019;46019A02700163;0003;0000;0001;;1;03;01;BIG;;0000;1970;N;0000445;0000000;0000000;02138;
14;46;019;46019A02500075;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000058;0000000;0000000;02138;
14;46;019;46019A02500075;0002;0000;0001;;1;00;02;BIG;;0000;1970;N;0000031;0000000;0000000;01239;
14;46;019;46019A01900131;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000030;0000000;0000000;02138;
14;46;019;46019A01900131;0002;0000;0001;;1;00;02;BIG;;0000;1970;N;0000015;0000000;0000000;02139;
14;46;019;46019A00300064;0001;0000;0001;;1;00;01;BIG;;0000;1965;N;0000121;0000000;0000000;02138;
14;46;019;46019A00300064;0002;0000;0001;;1;01;01;BIG;;0000;1965;N;0000064;0000000;0000000;02138;
14;46;019;46019A00300064;0005;0000;0001;;1;00;05;BCR;;0000;1965;N;0000020;0000000;0000000;02138;
14;46;019;46019A00300064;0007;0000;0001;;1;00;07;ZBE;;0000;1965;N;0000165;0000000;0000000;10328;
14;46;019;46019A00300064;0003;0000;0002;;1;00;02;YOU;;0000;1965;N;0001026;0000000;0000000;10328;
14;46;019;46019A00300064;0004;0000;0002;;1;00;03;BIG;;0000;1965;N;0000024;0000000;0000000;02138;
